"Assignment Fulfillment Entity 1","Assignment Fulfillment Entity 2","Role Demand type","Career Track","Location Radius","Source Location","Project Metro City","Project Supervising Entity","Sold","Client Contract Based","Assignment Title","Description","Requested Start Date","End Date","Status","Career Level From","Career Level To","Talent Segment","Assigned Role","Assignment Primary Specialization Level 1","Assignment Primary Specialization Level 2","Assignment Primary Specialization Level 3","Assignment Primary Specialization Level 4","Skill & Proficiency","Candidates"
"Accenture Technology "," Accenture Products & Platforms","New","Client Delivery & Operations","Any Location Globally","Seattle","Seattle","Products ","Yes","No","SAP Sales and Distribution Team Member (Einvoicing, Billing) Mexico Region","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.","2020-02-03T00:00","2020-05-29T00:00","Open - In Process","10","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","SAP","SAP Integration Architecture"," 1 - Billing and Revenue Management                                                  (P3 - Advanced) | 2 - Order to Cash                                                                   (P3 - Advanced) | 3 - SAP Technical Architecture                                                      (P3 - Advanced)",0
"Accenture Technology "," Intelligent Cloud and Infrastructure ","New","Client Delivery & Operations","Any Location Globally","San Francisco","San Francisco","Products ","Yes","No","Infra Vulnerability Remediation Lead (SCCM, Linux)","Leads the implementation of Infrastructure Services projects, leveraging our global delivery capability (method, tools, training, assets).

1.	7 -10 years of experience in Patching and Vulnerability remediation Management on Windows and Linux platforms.
2.	Good knowledge on Windows and Linux Operating systems
3.	Knowledge and Hands-on experience on WSUS & SCCM for Windows and Satellite & Puppet for Linux.
4.	Hands-on experience in testing and deployment of Windows and Linux OS patches on Windows and Linux servers
5.	Hands-on experience in testing and deployment of Application patches for MS Office, Adobe, Silverlight etc.
6.	Knowledge and hands-on experience on Change and Incident Management
7.	Knowledge and hands-on experience in Database patching.
8.	Ready to work on 24/7 environment","2020-03-02T00:00","2022-02-25T00:00","Open - Need Project Feedback","10","9","Infrastructure                          ","Infra Implementation Svcs Lead","Technology","Technology Specialization L2","Microsoft","Microsoft Infrastructure"," 1 - Security Patch Deployment Operations                                            (P4 - Expert) | 2 - Linux Operations                                                                (P3 - Advanced) | 3 - Infrastructure Operations                                                       (P2 - Intermediate) | 4 - Accenture Delivery Methods (ADM)                                                (P1 - Beginner) | 5 - Server Operating Systems                                                        (P1 - Beginner)",1
"Accenture Technology "," Advanced Technology Centers ","New","Client Delivery & Operations","Any Location Globally","Los Angeles","Los Angeles","Financial Services ","Yes","No","Informatica PowerCenter-10-Hyderabad","Design, build and configure applications to meet business process and application requirements.","2020-03-15T13:00","2021-03-15T13:00","Open - In Process","10","9","Software Engineering                    ","Application Developer","Function","No Function Category","No Function Specialization",," 1 - IBM DB2 Data Warehouse                                                          (P3 - Advanced) | 2 - Informatica Administration                                                      (P3 - Advanced) | 3 - Informatica PowerCenter                                                         (P3 - Advanced) | 4 - Program and Project Management                                                  (P3 - Advanced) | 5 - Autosys Administration                                                          (P2 - Intermediate) | 6 - UNIX IBM AIX                                                                    (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Other ","Yes","No","Technical Analyst","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.","2020-04-01T00:00","2020-10-26T00:00","Open - In Process","10","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Architecture","Architecture Strategy"," 1 - Splunk                                                                          (P3 - Advanced) | 2 - Agile Methods (ADM for Distributed Agile Development)                           (P1 - Beginner) | 3 - Machine Learning                                                                (P1 - Beginner) | 4 - Python Programming Language                                                     (P1 - Beginner) | 5 - Technology Architectures                                                        (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Health & Public Service ","Yes","No","Salesforce Minor Works Project Manager","Develop and execute activities related to end-to-end project management, including project plans and estimates, scoping and requirements through implementation and deployment. Proactively monitor, manage and report on execution of deliverables and Budgets.","2020-02-17T00:00","2020-06-30T00:00","Open - New","10","9","Program, Project & Service Mgmt         ","Program/Project Manager","Technology","Technology Specialization L2","Cloud","Cloud Native Applications"," 1 - Program and Project Management                                                  (P3 - Advanced) | 2 - Estimation and Planning                                                         (P2 - Intermediate) | 3 - Project Management Body of Knowledge (PMBOK)                                    (P2 - Intermediate) | 4 - Risk Management                                                                 (P2 - Intermediate) | 5 - Scope Management                                                                (P2 - Intermediate)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Town","Melbourne","Melbourne","Health & Public Service ","Yes","No","Tester/Java Dev","Java Developer 1 | Build & ST | 1. Self-Service Portal
Assist in defining requirements and designing applications to meet business process and application requirements.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details","2020-02-17T00:00","2020-05-28T00:00","Open - New","10","9","Software Engineering                    ","Application Designer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Back End"," 1 - Microservices and Light Weight Architecture                                     (P3 - Advanced) | 2 - Java Profiler                                                                   (P1 - Beginner) | 3 - Selenium                                                                        (P1 - Beginner)",0
"Accenture Technology "," Advanced Technology Centers ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","Yes","SAP Cloud Platform Java Application Developer","Design, build and configure Extension Application for Leave for 100,000 employees based on SAP Cloud Platform.  Application to meet business process and application requirements.","2020-02-10T00:00","2020-07-24T00:00","Open - Confirming Candidate","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Back End"," 1 - Java Programming language                                                       (P3 - Advanced) | 2 - SAP Cloud Platform                                                              (P3 - Advanced) | 3 - SAP SuccessFactors SAP Cloud Platform Extensions                                (P3 - Advanced)",1
"Accenture Technology "," Technology Geographic Unit ","Backfill","Client Delivery & Operations","In Country","Melbourne","Melbourne","Resources ","Yes","No","Application Support Engineer","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-02-17T00:00","2020-07-14T00:00","Open - Need Project Feedback","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Testing","Test Data Management"," 1 - Java Programming language                                                       (P2 - Intermediate) | 2 - Microsoft SQL Server                                                            (P1 - Beginner) | 3 - XML Data Modelling                                                              (P1 - Beginner)",2
"Accenture Digital "," Accenture Applied Intelligence ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","Reporting Solution Designer & Developer","Role Description:

Primary:
	Liase with project stakeholders to gather and understand reporting requirements for impact assessment to reporting stream.
	Design and document detailed reporting solution to align with current datamart structure and reporting framework.   

Secondary:
	Where required, augment current build team to support development of report ETL's (SQL/PLSQL)

Role Skills:

Primary Skills:
	Requirements Analysis
	Solution Design
	Data Architecture Patterns
	Effective Written Communication

Secondary Skills:
	Oracle SQL
	Oracle PL SQL","2020-02-17T00:00","2020-07-28T00:00","Open - Need Project Feedback","10","9","Software Engineering                    ","Application Designer","Technology","Technology Specialization L2","Data Business Group","Data Architecture"," 1 - Effective Verbal Communications                                                 (P3 - Advanced) | 2 - Requirements Analysis                                                           (P3 - Advanced) | 3 - Effective Written Communications                                                (P2 - Intermediate)",9
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Other ","Yes","No","Technical Architect","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.

The description has been defaulted based on the Assigned Role selected; modify as needed to indicate any project specific details","2020-02-26T00:00","2020-10-12T00:00","Open - In Process","10","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Architecture","Architecture Strategy"," 1 - CSS Pre-Processors                                                              (P2 - Intermediate) | 2 - JavaScript                                                                      (P2 - Intermediate) | 3 - Jira Operations                                                                 (P2 - Intermediate) | 4 - Python Programming Language                                                     (P2 - Intermediate) | 5 - Splunk                                                                          (P2 - Intermediate) | 6 - Technology Architectures                                                        (P2 - Intermediate)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Financial Services ","Yes","No","RDA process developer","Pega robotics RDA senior designer / developer to provide the process design and solution design during the engagement","2020-03-02T00:00","2020-10-30T00:00","Open - In Process","10","9","Business & Technology Integration       ","Business Process Designer","Technology","Technology Specialization L2","Applied Intelligence","Intelligent Process Automation"," 1 - Business Process Design                                                         (P5 - Master) | 2 - Technology Architectures                                                        (P5 - Master)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Financial Services ","Yes","No","PEGA Process Solution Design","Pega Solution Design","2020-02-11T00:00","2020-10-30T00:00","Open - In Process","10","9","Product, Service & Offering Development ","Software Product Business Architect","Technology","Technology Specialization L2","Data Business Group","Data & Analytics Strategy"," 1 - Business Design                                                                 (P4 - Expert) | 2 - Business Process Design                                                         (P4 - Expert) | 3 - Technology Architectures                                                        (P4 - Expert)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","Technical Architect Engineer","Review and integrate all application requirements, including functional, security, integration, performance, quality and operations requirements. Review and integrate the technical architecture requirements. Provide input into final decisions regarding hardware, network products, system software and security.	MUST - Good understanding of WebLogic Application Servers (+good troubleshooting exposure) 
	MUST - Expertise on Shell scripting and Python (+troubleshooting established assets)
	MUST - Experience on AIX / Linux commands. 
	Understanding of Oracle Fusion and SOA would be added advantage
	Fluid with deployment plan, procedures, concepts and pipelines. 
	Understanding of DevOps processes, tools and implementation experience would be add-on
	AWS experience would be plus
	ITIL certification / awareness would be add on
	Good communication skills and learning attitude
	Role will require occasional weekend / overnight deployment support.","2020-04-01T00:00","2021-04-02T00:00","Open - New","10","9","Technology Architecture                 ","Technical Architect","Technology","Technology Specialization L2","Agile/DevOps","DevOps"," 1 - Application Architectures                                                       (P3 - Advanced) | 2 - Architecture Frameworks                                                         (P3 - Advanced) | 3 - Operations Architectures                                                        (P3 - Advanced) | 4 - Technology Architectures                                                        (P3 - Advanced) | 5 - Architecture Design                                                             (P2 - Intermediate)",0
"Health & Public Service "," H&PS AAPAC OU ","New","Client Delivery & Operations","In Country","Melbourne","Canberra","Health & Public Service ","Yes","No","Agile Analyst - Tester","Provide expertise in the planning, constructing and execution of test scripts. Apply business and functional knowledge including testing standards, guidelines, and testing methodology to meet the team's overall test objectives. Ensure all testing results are easily accessible and understandable. Track defects to closure and keep defect repository up-to-date.","2020-02-03T00:00","2020-06-30T00:00","Open - Confirming Candidate","10","9","Software Engineering                    ","Tester","Technology","Technology Specialization L2","Testing","Digital Testing"," 1 - Agile Testing                                                                   (P2 - Intermediate) | 2 - Product Testing                                                                 (P1 - Beginner)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","AWS Software Developer / Cloud Engineer","​Design, develop and test work products in end-to-end solutionsPerform data/object migrations from Legacy system to Cloud solutions​Attend meetings to clarify user stories and changes​Perform assessment and analysis and translated functional requirements into technical solutionsProvide status report and showcase work products

Skill: ​Overall experience of about 5+ years in management of application Cloud infrastructure2+ years in AWS Software Development environmentOne or more DevOps and CI/CD implementation in cloud infrastructure environmentExperienced in Python and Linux ScriptingExperienced in Agile Delivery FrameworkProven experience in implementation of best DevOps practices in cloud infrastructure​

​experienced in Telecom Wholesale Billing certification in Scrum development certified AWS Developer​","2020-02-17T00:00","2021-02-16T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Agile Delivery management                                                       (P3 - Advanced) | 2 - Amazon Web Services (AWS) Security                                              (P3 - Advanced) | 3 - DevOps                                                                          (P3 - Advanced) | 4 - Linux Scripting                                                                 (P3 - Advanced) | 5 - Python Programming Language                                                     (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Melbourne","Melbourne","Products ","Yes","No","React JS Front End Developer","1.	Expert level knowledge of React JS framework and strong real time experience in developing React JS based applications with Redux or Flow
2.	Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
3.	Strong expertise in working with Node JS, WebPack and other tools related to React Front End Development.
4.	Strong experience in integrating React components with  RESTful APIs.
5.	Translating designs and wireframes into high quality code 
6.	Expert in HTML5
7.	Expert in CSS3
8.	Object Oriented JavaScript (ES5 & ES6)
9.	Experience in developing enterprise level responsive web pages or applications
10.	Understanding of the full web technology stack (e.g. HTTP, cookies, headers, asset loading/caching)
11.	Familiarity in modern authorization mechanisms, such as JSON Web Token
12.	Familiarity in designing & developing reusable front-end frameworks, node modules and tools
13.	Experience in implementing web accessibility using ARIA techniques is a plus","2020-03-16T00:00","2021-11-30T00:00","Open - In Process","10","9","Software Engineering                    ","Application Lead","Technology","Technology Specialization L2","Complex Program Del","Complex Program Delivery"," 1 - Advance Front End Development ReactJS                                           (P4 - Expert)",0
"Accenture Technology "," Advanced Technology Centers ","New","Client Delivery & Operations","Any Location Globally","Nashville","Nashville","Health & Public Service ","Yes","No","RR : IIB/SOA Sr. Developer : SOA : CX","Design, build and configure applications to meet business process and application requirements.","2020-04-29T13:00","2021-12-30T13:00","Open - In Process","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","High Velocity Ent","High Velocity Enterprise"," 1 - IBM Integration Bus                                                             (P3 - Advanced) | 2 - IBM API Connect                                                                 (P2 - Intermediate) | 3 - IBM Watson Explorys                                                             (P2 - Intermediate)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Perth","Perth","Resources ","Yes","No","Business Analyst","Analyze an organization and design its processes and systems, assessing the business model and its integration with technology. Assess current state, identify customer requirements, and define the future state and/or business solution. Research, gather and synthesize information.","2020-03-02T00:00","2020-08-31T00:00","Open - New","10","9","Business & Technology Integration       ","Business Analyst","Technology","Technology Specialization L2","Agile/DevOps","Agile Development"," 1 - Business Model Strategy                                                         (P1 - Beginner) | 2 - Business Process Analysis Tools                                                 (P1 - Beginner) | 3 - Business Process Design                                                         (P1 - Beginner) | 4 - Requirements Analysis                                                           (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Geographic Area","Singapore","Zurich","Financial Services ","Yes","Yes","Application Developer Copy 01","Design, build and configure applications to meet business process and application requirements.","2020-02-17T00:00","2021-01-01T00:00","Open - New","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Back End"," 1 - Java Enterprise Edition                                                         (P4 - Expert) | 2 - Build Management                                                                (P1 - Beginner) | 3 - Configuration & Release Management                                              (P1 - Beginner) | 4 - Design & Build Enablement                                                       (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Geographic Area","Singapore","Zurich","Financial Services ","Yes","Yes","Application Developer","Design, build and configure applications to meet business process and application requirements.","2020-02-17T00:00","2020-12-02T00:00","Open - New","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Custom Development","Java Enterprise Back End"," 1 - Build Management                                                                (P3 - Advanced) | 2 - Configuration & Release Management                                              (P3 - Advanced) | 3 - Design & Build Enablement                                                       (P3 - Advanced) | 4 - Java Enterprise Edition                                                         (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Geographic Area","Singapore","Zurich","Financial Services ","Yes","Yes","Application Developer","Design, build and configure applications to meet business process and application requirements.","2020-02-17T00:00","2020-11-25T00:00","Open - New","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","Mobility","Mobile Applications"," 1 - Apple iOS Application Development                                               (P4 - Expert) | 2 - Build Management                                                                (P1 - Beginner) | 3 - Configuration & Release Management                                              (P1 - Beginner) | 4 - Design & Build Enablement                                                       (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","AWS Software Developer / Cloud Engineer Copy 01","​Translate Business requirements in technical solutions Create technical documents and able to showcase them to business stakeholdersDevelop and test opcodes, MTA frameworkAttend meetings to clarify user stories and changesPerform application and OS installationsProvide daily status reports on Stand-up and perform actors in Agile methodologyProvide effective code fixes to defectsPerform performance and load testing Implement best practices in configuration management and deployment of software work products   

​Overall experience of 6+ years in Telco Billing systemsExpert in Oracle Billing Revenue & Management 7.5 (and above) with 5+ experience in projectExperienced application software installation and upgrade implementing patch setsExperienced on Agile software development for about 2+ yearsExperience on Systems Integration for at least 2 projects – outbound messages, REST and SOAP APIProvided a complex solution in at least 3 full lifecycle developmentProficient in Linux Shell scrip","2020-04-27T00:00","2021-02-02T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Oracle Billing and Revenue Management (BRM)                                     (P4 - Expert) | 2 - Linux Scripting                                                                 (P3 - Advanced) | 3 - Test Automation Assessments                                                     (P3 - Advanced) | 4 - SQL (Structured Query Language)                                                 (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Tester","​Translate Business requirements in technical solutions Create technical documents and able to showcase them to business stakeholdersDevelop and test opcodes, MTA frameworkAttend meetings to clarify user stories and changesPerform application and OS installationsProvide daily status reports on Stand-up and perform actors in Agile methodologyProvide effective code fixes to defectsPerform performance and load testing Implement best practices in configuration management and deployment of software work products   

​Overall experience of 6+ years in Telco Billing systemsExpert in Oracle Billing Revenue & Management 7.5 (and above) with 5+ experience in projectExperienced application software installation and upgrade implementing patch setsExperienced on Agile software development for about 2+ yearsExperience on Systems Integration for at least 2 projects – outbound messages, REST and SOAP APIProvided a complex solution in at least 3 full lifecycle developmentProficient in Linux Shell scrip","2020-02-06T00:00","2021-02-02T00:00","Open - Need Project Feedback","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Linux Scripting                                                                 (P3 - Advanced) | 2 - Python Programming Language                                                     (P3 - Advanced) | 3 - SQL (Structured Query Language)                                                 (P1 - Beginner)",1
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Oracle BRM Consultant","​​Perform requirements analysis and translate them in test scenarios in both technical and functional in natureCreate and execute test cases/scripts and log defects as necessaryIdentify risks and mitigate whenever possibleAttend meetings to clarify user stories and changesManage business stakeholders requirements​​​   

Skills: ​Overall experience of 5+ years in Telco Billing systems with at least 3+ years experience on software testing on Billing SystemExperienced on Agile Testing and Agile software developmentAble to handle verbal communication with team and liase with stakeholdersCreate and perform test scenarios based on functional requirementsExperienced in application testing related to Billing application (especially for Oracle BRM)  Experienced on Linux Scripting, SQL and SoapUI (or similar WebServices test tools)​​
Experience Core Java development for at least 3+ years

​Worked with Oracle BRM PDC and ECEworked with DevOps tools-Jenkins and Ansible","2020-02-17T00:00","2021-02-01T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Linux Scripting                                                                 (P3 - Advanced) | 2 - Oracle BRM Real Time Billing                                                    (P3 - Advanced) | 3 - SQL (Structured Query Language)                                                 (P3 - Advanced) | 4 - Agile Testing                                                                   (P1 - Beginner) | 5 - Shell Scripting                                                                 (P1 - Beginner)",0
"Accenture Digital "," Accenture Interactive","New","Client Delivery & Operations","In Country","Sydney","Sydney","Products ","Yes","No","Hybris Back End Developer","Enhance Lion eCommerce Platform built on SAP Hybris eCommerce for staff sales website based on existing B2B implementation","2020-02-10T00:00","2020-02-28T00:00","Open - In Process","10","9","Software Engineering                    ","Application Developer","Technology","Technology Specialization L2","SAP","SAP Hybris Commerce"," 1 - Java Programming language                                                       (P5 - Master) | 2 - SAP Hybris B2B Commerce                                                         (P3 - Advanced)",3
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Oracle BRM Senior Consultant","Translate Business requirements in technical solutions Create technical documents and able to showcase them to business stakeholders
Develop and test opcodes, MTA framework
Attend meetings to clarify user stories and changes
Perform application and OS installations
Provide daily status reports on Stand-up and perform actors in Agile methodology
Provide effective code fixes to defects
Perform performance and load testing 
Implement best practices in configuration management and deployment of software work products

Skills: ​Overall experience of 6+ years in Telco Billing systemsExpert in Oracle Billing Revenue & Management 7.5 (and above) with 5+ experience in projectExperienced application software installation and upgrade implementing patch setsExperienced on Agile software development for about 2+ yearsExperience on Systems Integration for at least 2 projects – outbound messages, REST and SOAP APIProvided a complex solution in at least 3 full lifecycle developmentProficient in Linux","2020-02-17T00:00","2021-02-02T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Effective Verbal Communications                                                 (P3 - Advanced) | 2 - Linux Scripting                                                                 (P3 - Advanced) | 3 - Oracle BRM Real Time Billing                                                    (P3 - Advanced) | 4 - SQL (Structured Query Language)                                                 (P3 - Advanced) | 5 - Shell Scripting                                                                 (P1 - Beginner) | 6 - Simple Object Access Protocol (SOAP)                                            (P1 - Beginner)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Quality Assurance/Test Engineer","​Perform requirements analysis and translate them in test scenarios in both technical and functional in natureCreate and execute test cases/scripts and log defects as necessaryIdentify risks and mitigate whenever possibleAttend meetings to clarify user stories and changesManage business stakeholders requirements​

Skill: ​Overall experience of 5+ years in Telco Billing systems with at least 3+ years experience on software testing on Billing SystemExperienced on Agile Testing and Agile software developmentAble to handle verbal communication with team and liase with stakeholdersCreate and perform test scenarios based on functional requirementsExperienced in application testing related to Billing application (especially for Oracle BRM)  Experienced on Linux Scripting, SQL and SoapUI (or similar WebServices test tools)​

​Test automations - BATS or Selenium","2020-02-17T00:00","2021-02-02T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Effective Verbal Communications                                                 (P3 - Advanced) | 2 - Linux Scripting                                                                 (P3 - Advanced) | 3 - Oracle BRM Real Time Billing                                                    (P3 - Advanced) | 4 - SoapUI                                                                          (P3 - Advanced) | 5 - SQL (Structured Query Language)                                                 (P3 - Advanced) | 6 - Stakeholder Management                                                          (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Senior Application Integration Developer","Translate business requirements into technical solutionsCreate Technical design documents and showcase them that is understood by business stakeholder during showcase
Architect and supervise solutions on systems integration
Apply best practices in configuration management and software development
Perform load and performance testing to meet scaleable requirement
Install and apply software applications and patch upgrades
Delivery work products and incident fixes 
Attend meetings to clarify user stories and changes

Skills:​Overall experience of about 5+ years in Telco software developmentExperience in Systems integration of about 4+ years on Websphere or Oracle Fusion (SOA, BI Publisher, Weblogic)5+ years' experience and expert in Java design and development – Java EE, Webservices, JMS, Spring Batch, Maven, Eclipse, Java Swing, Java scripts, HTML and JSON
Experienced on Agile software development for about 2+ yearsStrong experience in the Telco Billing Domain for about 2+ yearCompleted","2020-02-17T00:00","2021-02-02T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - Core Java EE Design Patterns                                                    (P3 - Advanced) | 2 - HTML (Hypertext Markup Language)                                                (P3 - Advanced) | 3 - Linux Scripting                                                                 (P3 - Advanced) | 4 - Oracle BRM Real Time Billing                                                    (P3 - Advanced) | 5 - Oracle Fusion Middleware Webservices                                            (P3 - Advanced) | 6 - Shell Scripting                                                                 (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Senior Systems Engineer","​Manage on configuration management and CI/CD implementation
Manage build, deployment and focused process automations
Manage cloud solutions in relation to security compliance 
Attend meetings to clarify user stories and changes
Perform analysis on infrastructure solutions/changes
Raise risks and create mitigation actions
Create scripts and processes for DevOps and automations
Provide assistance with system-intensive operations like performance testing, systems optimization

Skills: ​Overall experience of 5+ years in Telco systemsOne or more DevOps and CI/CD implementationExperienced for at least 2 years in configuration management - GIT, Artifactory, SVNHighly experience in DevOps implementation – Jenkins, Ansible, Python, BATS, AWSExperienced on AWS System Operation/AdministrationExpert in Linux scripting and SQL ​

​​Certified AWS System OperationsChefDockerAgile sAFE CertifiedAWS DevOps Engineer certified​","2020-02-17T00:00","2021-02-16T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","Technology Specialization L2","Architecture","Development & Operations Architectures"," 1 - AWS Administration                                                              (P3 - Advanced) | 2 - DevOps                                                                          (P3 - Advanced) | 3 - Jenkins                                                                         (P3 - Advanced) | 4 - Linux Scripting                                                                 (P3 - Advanced) | 5 - Python Programming Language                                                     (P3 - Advanced) | 6 - SQL (Structured Query Language)                                                 (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","Infrastructure Support Analyst","- Experience in Infrastructure support with 3-4 years experience minimum
- Hands-on working infrastructure Service Requests such as Load Balancing creation, Certificate renewal, Storage and Backup management, TMG Proxy setup
 - Experience in Windows and Linux OS system administration
- Perform troubleshooting and root cause analysis for complex problems, major incident permanent fixes involving infrastructure issues.
- Experience in Cisco network switches, routers, Vcentre for VM management
- Provide workaround to restore services during major outages","2020-02-05T00:00","2021-10-31T00:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Application Remediation                                                         (P4 - Expert) | 2 - Technology Troubleshooting                                                      (P4 - Expert)",1
"Accenture Technology "," Advanced Technology Centers ","New","Client Delivery & Operations","Any Location Globally","Sydney","Melbourne","Communications, Media & Technology ","Yes","No","Oracle Applications DBA-10-Bengaluru","Act as software detectives, provide a dynamic service identifying and solving issues within multiple components of critical business systems.","2020-03-25T13:00","2021-03-30T13:00","Open - In Process","10","9","Software Engineering                    ","Application Support Engineer","Technology","No Technology Category","No Technology Specialization",," 1 - Application Remediation                                                         (P4 - Expert) | 2 - Engineering Technical Support                                                   (P4 - Expert) | 3 - Oracle Applications DBA                                                         (P3 - Advanced) | 4 - Oracle Applications Development                                                 (P3 - Advanced)",0
"Accenture Technology "," Technology Geographic Unit ","New","Client Delivery & Operations","In Country","Sydney","Sydney","Communications, Media & Technology ","Yes","No","SEO Chapters - Workflow Content and Tooling - Iteration Lead","-	Role: Delivery – Iteration Lead (WFT chapter, DNA team)
-	Start Date: 20 Jan 2020
-	End Date: end of SSOW
-	Skills: scrum master, agile delivery
-	Level: senior analyst / consultant
-	Sydney based
-	90% sold
","2020-02-17T00:00","2020-07-14T00:00","Open - Confirming Candidate","10","9","Software Engineering                    ","Application Developer","Technology","No Technology Category","No Technology Specialization",," 1 - Agile Delivery management                                                       (P4 - Expert) | 2 - Scrum                                                                           (P4 - Expert)",1
