"Career Track","Talent Segment","Role Family","Role","Tech Specialty","Org Unit Level 1","Exp Hire Flag","Length-of-Service","Gender","Age of Employee","Strength 1","Strength 2","Strength 3","Strength 4","Strength 5","Strength 6","Strength 7","Strength 8","Strength 9","Strength 10","Strength 11","Strength 12","Strength 13","Strength 14","Strength 15","Strength 16","Strength 17","Strength 18","Strength 19","Strength 20","Strength 21","Strength 22","Strength 23","Strength 24","Strength 25","Strength 26","Strength 27","Strength 28","Strength 29","Strength 30","Strength 31","Strength 32","Strength 33","Strength 34"
"Client Delivery & Operations","Software Engineering","Database Administration","Database Admin Specialist","Data Management","Accenture Operations","Yes",91,"Male",60,"analytical","achiever","positivity","arranger","intellection","discipline","significance","focus","woo","context","competition","futuristic","individualisation","harmony","consistency","empathy","developer","relator","includer","input","deliberative","learner","restorative","responsibility","belief","activator","command","connectedness","adaptability","strategic","maximiser","self-assurance","ideation","communication"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","SAP Business Intelligence (BI)","Accenture Technology","Yes",91,"Male",34,"maximiser","deliberative","includer","discipline","empathy","activator","significance","connectedness","adaptability","self-assurance","context","belief","harmony","arranger","analytical","intellection","futuristic","command","ideation","developer","woo","consistency","relator","strategic","achiever","learner","focus","competition","responsibility","individualisation","restorative","input","communication","positivity"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","MS Collaborative Technology","Accenture Technology","Yes",103,"Male",34,"context","connectedness","input","discipline","responsibility","intellection","restorative","strategic","futuristic","competition","analytical","self-assurance","ideation","focus","communication","relator","arranger","activator","learner","deliberative","achiever","command","includer","woo","belief","significance","positivity","adaptability","developer","consistency","maximiser","harmony","empathy","individualisation"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Manager","Technology Architectures","Financial Services","No",127,"Male",34,"adaptability","positivity","maximiser","analytical","achiever","relator","ideation","input","focus","deliberative","intellection","empathy","communication","activator","developer","futuristic","consistency","learner","responsibility","self-assurance","includer","woo","arranger","strategic","discipline","harmony","individualisation","belief","restorative","context","significance","command","connectedness","competition"
"Client Delivery & Operations","Solution Architecture","Technology Solution Planning","Tech Solution Planning Sr Mgr","Technology Architectures","Health & Public Service","No",164,"Male",35,"responsibility","deliberative","consistency","learner","futuristic","harmony","significance","context","positivity","communication","relator","competition","input","restorative","intellection","arranger","individualisation","developer","activator","discipline","belief","woo","includer","focus","adaptability","empathy","achiever","self-assurance","connectedness","analytical","ideation","strategic","command","maximiser"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Test Strategy and Management","Health & Public Service","No",164,"Male",40,"positivity","futuristic","developer","individualisation","context","input","communication","self-assurance","competition","activator","adaptability","analytical","relator","discipline","intellection","learner","ideation","command","consistency","belief","responsibility","empathy","achiever","deliberative","arranger","maximiser","includer","woo","strategic","restorative","connectedness","significance","harmony","focus"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Delivery Lifecycle","Health & Public Service","No",164,"Male",39,"adaptability","relator","empathy","achiever","consistency","learner","maximiser","futuristic","significance","focus","self-assurance","communication","context","ideation","positivity","activator","includer","developer","deliberative","woo","analytical","individualisation","intellection","command","input","discipline","arranger","competition","connectedness","responsibility","belief","strategic","harmony","restorative"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Sr Manager","Performance Engineering","Health & Public Service","No",164,"Male",35,"consistency","empathy","activator","significance","input","futuristic","individualisation","learner","command","positivity","responsibility","includer","adaptability","deliberative","belief","restorative","discipline","achiever","self-assurance","harmony","context","connectedness","competition","ideation","focus","relator","analytical","communication","maximiser","strategic","arranger","woo","intellection","developer"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Sr Manager","Technology Architectures","Accenture Technology","No",164,"Male",36,"woo","responsibility","empathy","communication","individualisation","futuristic","adaptability","strategic","relator","context","self-assurance","intellection","command","focus","analytical","activator","developer","maximiser","discipline","positivity","significance","ideation","learner","belief","consistency","restorative","arranger","harmony","connectedness","competition","input","includer","achiever","deliberative"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Sr Manager","Technology Architectures","Accenture Technology","No",164,"Male",35,"relator","includer","activator","maximiser","communication","ideation","strategic","restorative","harmony","context","belief","intellection","input","consistency","responsibility","deliberative","learner","significance","discipline","competition","positivity","developer","connectedness","focus","individualisation","command","futuristic","self-assurance","adaptability","empathy","arranger","analytical","woo","achiever"
"Client Delivery & Operations","Business Advisory","Supplier Relationship","Supplier Relationship Associate Manager","Customer Service Operations","Accenture Operations","No",164,"Female",38,"includer","belief","analytical","discipline","focus","ideation","developer","intellection","empathy","connectedness","adaptability","self-assurance","restorative","strategic","competition","futuristic","arranger","maximiser","activator","input","learner","deliberative","significance","command","harmony","consistency","context","woo","responsibility","achiever","relator","individualisation","communication","positivity"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Finance Process & Ops","Resources","No",164,"Male",36,"connectedness","analytical","positivity","focus","self-assurance","command","adaptability","context","belief","harmony","discipline","strategic","achiever","significance","developer","futuristic","empathy","includer","consistency","activator","communication","intellection","restorative","individualisation","responsibility","learner","woo","input","relator","arranger","deliberative","ideation","maximiser","competition"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Executive","Agile","Health & Public Service","No",164,"Male",35,"restorative","context","analytical","empathy","intellection","harmony","connectedness","adaptability","relator","responsibility","belief","woo","individualisation","self-assurance","input","consistency","deliberative","strategic","futuristic","activator","maximiser","ideation","focus","significance","achiever","discipline","learner","arranger","competition","includer","communication","positivity","developer","command"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Manager","SAP Business Intelligence (BI)","Accenture Technology","Yes",140,"Male",37,"adaptability","self-assurance","empathy","individualisation","significance","connectedness","communication","restorative","discipline","harmony","intellection","positivity","arranger","focus","woo","consistency","learner","responsibility","context","relator","command","strategic","activator","deliberative","maximiser","includer","input","developer","analytical","futuristic","ideation","belief","achiever","competition"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Senior Manager","Delivery Lifecycle","Communications, Media & Technology","Yes",140,"Male",38,"significance","analytical","intellection","self-assurance","context","command","harmony","belief","developer","relator","empathy","competition","restorative","consistency","maximiser","futuristic","achiever","input","focus","activator","adaptability","arranger","communication","positivity","discipline","ideation","learner","individualisation","strategic","woo","deliberative","includer","connectedness","responsibility"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Manager","Business Intelligence","Accenture Digital","Yes",140,"Male",36,"individualisation","woo","adaptability","futuristic","context","connectedness","competition","deliberative","input","arranger","relator","intellection","restorative","achiever","communication","maximiser","strategic","belief","discipline","learner","focus","significance","activator","empathy","ideation","consistency","analytical","harmony","self-assurance","includer","responsibility","developer","command","positivity"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Sr Manager","Big Data","Accenture Digital","No",140,"Male",39,"focus","positivity","ideation","includer","communication","deliberative","restorative","context","consistency","connectedness","achiever","strategic","intellection","self-assurance","command","competition","discipline","futuristic","activator","developer","belief","relator","analytical","responsibility","input","maximiser","learner","individualisation","empathy","woo","significance","arranger","adaptability","harmony"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Executive","Network Transformation - NetX","Accenture Digital","No",286,"Male",46,"intellection","input","ideation","context","developer","self-assurance","significance","consistency","positivity","includer","maximiser","competition","adaptability","deliberative","restorative","individualisation","strategic","focus","learner","futuristic","activator","command","relator","empathy","belief","harmony","responsibility","communication","connectedness","achiever","discipline","woo","analytical","arranger"
"Client Delivery & Operations","Program, Project & Service Mgmt","Program and Project Management","Program & Project Mgmt Senior Manager","Program Project Mgmt","Health & Public Service","No",127,"Male",38,"restorative","significance","relator","connectedness","consistency","communication","achiever","intellection","belief","empathy","command","responsibility","individualisation","learner","deliberative","maximiser","developer","self-assurance","context","analytical","input","positivity","arranger","ideation","competition","harmony","strategic","focus","woo","includer","futuristic","discipline","adaptability","activator"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","SAP EAM","Accenture Technology","No",127,"Female",36,"ideation","deliberative","command","adaptability","empathy","woo","maximiser","belief","context","intellection","consistency","restorative","input","positivity","relator","connectedness","self-assurance","learner","responsibility","focus","individualisation","significance","harmony","analytical","discipline","developer","activator","arranger","futuristic","includer","competition","strategic","achiever","communication"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","SAP Data & Development","Health & Public Service","Yes",140,"Male",40,"developer","learner","analytical","belief","arranger","woo","adaptability","strategic","includer","focus","responsibility","deliberative","individualisation","harmony","discipline","empathy","futuristic","relator","significance","command","maximiser","input","connectedness","self-assurance","intellection","competition","consistency","communication","ideation","activator","positivity","restorative","context","achiever"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","SAP","Health & Public Service","No",213,"Male",38,"context","belief","individualisation","deliberative","input","learner","communication","competition","focus","self-assurance","relator","empathy","ideation","strategic","includer","achiever","connectedness","developer","positivity","restorative","harmony","command","discipline","adaptability","responsibility","woo","intellection","analytical","activator","futuristic","arranger","consistency","significance","maximiser"
"Client Delivery & Operations","Management Consulting","Management Consulting Delivery","MC Delivery Senior Manager","Change Management","Health & Public Service","No",213,"Female",39,"restorative","strategic","ideation","woo","consistency","context","harmony","learner","positivity","arranger","self-assurance","focus","analytical","activator","competition","responsibility","command","intellection","futuristic","input","individualisation","connectedness","maximiser","deliberative","developer","belief","discipline","adaptability","empathy","relator","includer","significance","communication","achiever"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Executive","HR and Talent Management","Resources","No",213,"Male",39,"intellection","developer","command","communication","restorative","analytical","consistency","significance","adaptability","ideation","responsibility","context","belief","learner","competition","includer","connectedness","woo","relator","achiever","deliberative","input","individualisation","maximiser","positivity","harmony","arranger","strategic","futuristic","activator","focus","self-assurance","empathy","discipline"
"Client & Market","Analytics","Functional & Industry Analytics","Functional & Indstry Analytics Sr Mgr","Analytics","Health & Public Service","No",213,"Female",40,"developer","ideation","consistency","input","futuristic","adaptability","restorative","competition","command","activator","analytical","significance","positivity","communication","deliberative","individualisation","intellection","harmony","woo","connectedness","discipline","includer","arranger","responsibility","self-assurance","maximiser","focus","belief","achiever","empathy","relator","learner","context","strategic"
"Corporate Function","Human Resources","Total Rewards","Total Rewards Specialist","Total Rewards","Corporate Functions","No",54,"Female",30,"self-assurance","input","belief","arranger","discipline","learner","positivity","includer","strategic","adaptability","connectedness","focus","maximiser","relator","intellection","achiever","developer","competition","woo","significance","responsibility","context","analytical","futuristic","individualisation","harmony","activator","deliberative","restorative","command","consistency","ideation","empathy","communication"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Change Management","Financial Services","Yes",54,"Female",33,"belief","maximiser","achiever","input","woo","context","restorative","harmony","includer","connectedness","developer","self-assurance","learner","adaptability","competition","arranger","ideation","relator","empathy","command","futuristic","activator","communication","analytical","intellection","positivity","deliberative","significance","discipline","strategic","individualisation","responsibility","consistency","focus"
"Client & Market","Industry Solutions & Services","Industry Solns & Svcs","Industry Solns & Svcs Manager","Industry Applications-RES","Resources","Yes",54,"Female",39,"self-assurance","relator","empathy","restorative","input","consistency","connectedness","learner","responsibility","positivity","developer","analytical","strategic","deliberative","focus","achiever","adaptability","discipline","context","intellection","woo","significance","communication","harmony","maximiser","activator","futuristic","belief","command","includer","arranger","individualisation","ideation","competition"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Assoc Manager","Application Maintenance","Accenture Technology","Yes",54,"Male",36,"intellection","developer","input","activator","connectedness","ideation","responsibility","empathy","woo","discipline","arranger","strategic","communication","belief","maximiser","significance","achiever","analytical","learner","self-assurance","individualisation","consistency","includer","futuristic","adaptability","restorative","positivity","harmony","command","relator","focus","competition","context","deliberative"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","Oracle Data Integration (ODI)","Accenture Technology","Yes",54,"Male",33,"communication","restorative","harmony","activator","individualisation","includer","relator","arranger","achiever","context","belief","developer","analytical","intellection","command","responsibility","futuristic","empathy","positivity","woo","adaptability","ideation","discipline","maximiser","deliberative","learner","strategic","consistency","connectedness","competition","focus","self-assurance","significance","input"
"Client Delivery & Operations","Analytics","Data Engineering","Data Engineering Specialist","Microsoft BI","Accenture Technology","No",103,"Male",33,"ideation","arranger","restorative","relator","woo","activator","focus","consistency","discipline","developer","achiever","significance","strategic","command","communication","empathy","intellection","belief","positivity","futuristic","context","input","adaptability","includer","self-assurance","responsibility","deliberative","learner","maximiser","individualisation","analytical","competition","harmony","connectedness"
"Client Delivery & Operations","Program, Project & Service Mgmt","Program and Project Management","Program & Project Mgmt Manager","CMT Industry Applications","Accenture Technology","No",188,"Female",44,"strategic","adaptability","analytical","developer","achiever","competition","responsibility","harmony","belief","restorative","positivity","futuristic","maximiser","relator","individualisation","deliberative","ideation","discipline","activator","context","self-assurance","includer","connectedness","woo","input","communication","consistency","focus","arranger","intellection","command","learner","empathy","significance"
"Client Delivery & Operations","IT Operations","IT Customer Service","IT Customer Service Senior Analyst","IT Service Excellence","Accenture Operations","No",30,"Male",34,"analytical","ideation","positivity","individualisation","consistency","belief","strategic","activator","arranger","developer","achiever","input","restorative","harmony","futuristic","adaptability","deliberative","intellection","discipline","focus","maximiser","responsibility","context","significance","includer","competition","learner","relator","empathy","command","communication","self-assurance","connectedness","woo"
"Innovation & Thought Leadership","Analytics","Digital Data Innovation","Digital Data Innovation Principal","Analytics","Accenture Digital","Yes",42,"Male",48,"harmony","context","communication","achiever","positivity","individualisation","input","deliberative","discipline","developer","significance","responsibility","maximiser","restorative","arranger","empathy","woo","activator","belief","strategic","focus","learner","competition","includer","self-assurance","analytical","ideation","command","consistency","intellection","connectedness","adaptability","futuristic","relator"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Assoc Manager","SAP for Banking","Accenture Technology","No",91,"Male",40,"self-assurance","deliberative","connectedness","strategic","maximiser","woo","intellection","command","ideation","activator","significance","developer","includer","achiever","analytical","input","competition","restorative","responsibility","relator","discipline","individualisation","belief","arranger","positivity","context","futuristic","consistency","harmony","empathy","adaptability","focus","learner","communication"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Solution Architecting","Accenture Technology","Yes",103,"Male",38,"restorative","significance","maximiser","analytical","empathy","input","consistency","ideation","learner","harmony","belief","strategic","positivity","individualisation","deliberative","context","focus","woo","arranger","self-assurance","competition","adaptability","relator","activator","achiever","developer","includer","discipline","communication","connectedness","command","responsibility","futuristic","intellection"
"Client Delivery & Operations","Infrastructure","Infrastructure Delivery","Infrastructure Delivery Manager","Performance Engineering","Health & Public Service","Yes",103,"Male",38,"context","harmony","activator","strategic","consistency","command","woo","adaptability","futuristic","responsibility","connectedness","focus","competition","intellection","includer","relator","analytical","restorative","discipline","individualisation","deliberative","arranger","positivity","learner","empathy","belief","significance","developer","self-assurance","input","maximiser","communication","achiever","ideation"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Sr Manager","SAP CRM Sales & Service","Accenture Technology","No",103,"Male",34,"arranger","strategic","individualisation","developer","restorative","discipline","analytical","focus","maximiser","command","activator","intellection","competition","self-assurance","significance","connectedness","belief","empathy","context","positivity","responsibility","consistency","harmony","deliberative","achiever","includer","ideation","learner","communication","input","woo","futuristic","relator","adaptability"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","Test Strategy and Management","Accenture Technology","Yes",140,"Male",40,"responsibility","empathy","harmony","connectedness","woo","significance","includer","futuristic","restorative","consistency","focus","analytical","input","learner","individualisation","self-assurance","ideation","command","developer","positivity","communication","intellection","relator","achiever","activator","discipline","strategic","belief","deliberative","context","maximiser","competition","arranger","adaptability"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Manager","Service Management Operations","Accenture Technology","No",140,"Male",38,"adaptability","command","focus","analytical","harmony","developer","significance","belief","maximiser","context","intellection","discipline","communication","activator","deliberative","woo","futuristic","self-assurance","restorative","relator","achiever","responsibility","arranger","positivity","includer","connectedness","empathy","individualisation","input","strategic","consistency","ideation","competition","learner"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Assoc Manager","Java Enterprise - Front End","Accenture Technology","No",152,"Male",34,"discipline","input","learner","arranger","responsibility","strategic","achiever","competition","self-assurance","ideation","communication","includer","activator","consistency","maximiser","focus","intellection","relator","context","analytical","significance","individualisation","futuristic","harmony","command","connectedness","restorative","developer","deliberative","positivity","empathy","woo","belief","adaptability"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","SAP","Health & Public Service","No",176,"Female",46,"includer","activator","strategic","focus","woo","deliberative","responsibility","competition","achiever","belief","intellection","context","analytical","individualisation","consistency","adaptability","communication","learner","significance","positivity","developer","relator","ideation","command","harmony","self-assurance","futuristic","restorative","connectedness","maximiser","arranger","empathy","discipline","input"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Sr. Technology Delivery Lead Executive","Program Project Mgmt","Health & Public Service","No",249,"Female",45,"belief","strategic","restorative","intellection","maximiser","analytical","includer","developer","context","consistency","futuristic","arranger","positivity","achiever","learner","focus","ideation","deliberative","communication","woo","relator","connectedness","discipline","command","empathy","competition","activator","self-assurance","adaptability","responsibility","harmony","significance","individualisation","input"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Manager","FS-Banking Applications","Financial Services","No",103,"Male",33,"connectedness","responsibility","learner","communication","strategic","positivity","analytical","includer","developer","restorative","ideation","command","belief","activator","context","deliberative","harmony","input","discipline","focus","competition","significance","arranger","achiever","futuristic","empathy","individualisation","relator","woo","adaptability","consistency","maximiser","intellection","self-assurance"
"Client Delivery & Operations","Technology Architecture","Technology Architecture Delivery","Tech Architecture Delivery Assoc Mgr","Open Source Intgration & Proc","Accenture Technology","Yes",103,"Male",41,"developer","self-assurance","relator","includer","adaptability","maximiser","intellection","command","analytical","connectedness","deliberative","responsibility","restorative","strategic","competition","learner","achiever","ideation","input","communication","harmony","positivity","activator","significance","arranger","context","individualisation","discipline","woo","empathy","focus","belief","futuristic","consistency"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Senior Manager","HR and Talent Management","Financial Services","No",103,"Female",32,"activator","maximiser","adaptability","arranger","ideation","command","individualisation","connectedness","restorative","deliberative","input","self-assurance","harmony","empathy","competition","positivity","includer","belief","relator","achiever","futuristic","woo","strategic","context","communication","consistency","intellection","focus","analytical","responsibility","significance","learner","developer","discipline"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Industry Applications-FS","Financial Services","No",107,"Male",31,"discipline","self-assurance","competition","connectedness","context","futuristic","achiever","focus","input","analytical","maximiser","harmony","restorative","arranger","adaptability","individualisation","consistency","positivity","includer","significance","communication","intellection","strategic","relator","activator","ideation","belief","empathy","developer","responsibility","woo","learner","command","deliberative"
"Client Delivery & Operations","Cloud","Cloud Technical Arch Delivery","Cloud Tech Architect Delivery Manager","Cloud Technologies","Accenture Operations","Yes",103,"Male",41,"positivity","includer","significance","adaptability","intellection","competition","activator","context","connectedness","strategic","maximiser","responsibility","developer","harmony","relator","focus","deliberative","analytical","ideation","empathy","individualisation","achiever","belief","input","woo","futuristic","arranger","discipline","command","restorative","learner","self-assurance","communication","consistency"
"Client Delivery & Operations","Business & Technology Integration","Business & Integration Architecture","Business&Integration Arch Manager","SAP UI & Mobility Architecture","Health & Public Service","Yes",103,"Male",51,"connectedness","strategic","learner","deliberative","includer","competition","command","futuristic","analytical","self-assurance","empathy","relator","responsibility","harmony","woo","ideation","significance","intellection","discipline","maximiser","restorative","input","activator","focus","context","communication","positivity","belief","consistency","achiever","adaptability","developer","arranger","individualisation"
"Client Delivery & Operations","Software Engineering","Application Support","Application Support Associate Manager","Application Maintenance","Health & Public Service","No",152,"Male",43,"belief","relator","connectedness","strategic","achiever","discipline","arranger","communication","competition","significance","maximiser","context","adaptability","command","input","woo","focus","analytical","consistency","ideation","intellection","deliberative","includer","empathy","responsibility","developer","individualisation","restorative","activator","harmony","self-assurance","futuristic","positivity","learner"
"Client & Market","Business & Technology Integration","Technology Consulting","Technology Consulting Director","Blockchain","Communications, Media & Technology","No",310,"Male",47,"belief","ideation","includer","deliberative","restorative","achiever","command","adaptability","futuristic","analytical","focus","communication","competition","strategic","arranger","woo","developer","individualisation","responsibility","connectedness","context","maximiser","empathy","relator","significance","discipline","consistency","positivity","self-assurance","harmony","activator","input","learner","intellection"
"Client & Market","Organization & Practice Leadership","Practice Leadership","CSG Lead","Software Defined Network & Ops","Communications, Media & Technology","No",310,"Male",47,"includer","relator","significance","adaptability","input","individualisation","analytical","harmony","context","futuristic","positivity","focus","consistency","connectedness","restorative","developer","discipline","woo","command","empathy","arranger","strategic","belief","competition","communication","self-assurance","achiever","activator","deliberative","learner","responsibility","ideation","intellection","maximiser"
"Sales","Sales Enablement","Sales Program Management","Sales Program Mgmt Senior Manager","Sales","Financial Services","Yes",18,"Male",45,"intellection","strategic","positivity","deliberative","individualisation","competition","consistency","empathy","developer","learner","analytical","includer","woo","belief","activator","futuristic","context","discipline","significance","self-assurance","responsibility","maximiser","arranger","harmony","focus","connectedness","command","achiever","adaptability","restorative","input","ideation","communication","relator"
"Client Delivery & Operations","Account Leadership","Operations Account Leadership","Operations Acct Leadership Sr Manager","Executive Support Svcs","Accenture Operations","Yes",18,"Female",48,"analytical","activator","significance","relator","includer","arranger","achiever","deliberative","responsibility","restorative","command","context","intellection","communication","discipline","developer","self-assurance","strategic","focus","woo","input","ideation","consistency","adaptability","belief","connectedness","maximiser","harmony","competition","learner","futuristic","individualisation","empathy","positivity"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Supply Chain & Operations","Products","Yes",18,"Female",28,"deliberative","significance","achiever","activator","learner","analytical","restorative","relator","includer","adaptability","strategic","individualisation","consistency","connectedness","maximiser","futuristic","belief","empathy","competition","focus","intellection","ideation","self-assurance","discipline","context","arranger","developer","woo","responsibility","communication","harmony","input","command","positivity"
"Client & Market","Management Consulting","Management Consulting","Management Consultant","Change Management","Resources","Yes",18,"Male",33,"activator","empathy","deliberative","futuristic","responsibility","positivity","harmony","self-assurance","analytical","context","significance","maximiser","arranger","focus","woo","ideation","individualisation","communication","developer","adaptability","includer","achiever","discipline","input","command","competition","restorative","relator","belief","connectedness","strategic","intellection","consistency","learner"
"Client & Market","Management Consulting","Management Consulting","Management Consulting Manager","Blockchain","Products","Yes",18,"Male",32,"analytical","activator","developer","competition","focus","achiever","arranger","harmony","restorative","learner","connectedness","command","ideation","includer","positivity","deliberative","woo","responsibility","input","self-assurance","relator","adaptability","discipline","strategic","significance","maximiser","futuristic","consistency","empathy","context","intellection","belief","individualisation","communication"
"Client & Market","Business & Technology Integration","Digital Integration","Digital Business Integration Manager","Digital Marketing","Accenture Digital","Yes",18,"Male",32,"belief","deliberative","developer","intellection","command","restorative","discipline","context","responsibility","connectedness","consistency","input","maximiser","achiever","adaptability","significance","relator","arranger","strategic","competition","focus","individualisation","woo","includer","analytical","futuristic","harmony","ideation","activator","empathy","communication","learner","positivity","self-assurance"
"Client Delivery & Operations","Cloud","Cloud Migration & Imp Delivery","Cloud Migration & Imp Delivery Assoc Mgr","ServiceNow Platform","Accenture Operations","Yes",18,"Male",32,"positivity","individualisation","belief","achiever","restorative","arranger","empathy","connectedness","intellection","significance","discipline","command","maximiser","responsibility","ideation","harmony","includer","communication","activator","competition","learner","context","analytical","consistency","input","focus","developer","woo","self-assurance","deliberative","relator","futuristic","adaptability","strategic"
"Client Delivery & Operations","Portfolio & Delivery Management","Client Service Delivery","Client Svcs Delivery Manager","Procurement Enablement","Accenture Operations","Yes",18,"Male",34,"maximiser","self-assurance","significance","achiever","woo","individualisation","arranger","adaptability","analytical","responsibility","harmony","consistency","intellection","empathy","activator","discipline","context","positivity","deliberative","competition","communication","belief","focus","futuristic","relator","connectedness","learner","ideation","input","developer","command","strategic","includer","restorative"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Java and JVM Languages","Health & Public Service","Yes",18,"Male",32,"communication","adaptability","deliberative","futuristic","discipline","command","maximiser","consistency","significance","connectedness","focus","activator","ideation","empathy","responsibility","intellection","restorative","competition","harmony","positivity","developer","includer","achiever","self-assurance","learner","context","woo","strategic","input","analytical","belief","arranger","relator","individualisation"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Specialist","Oracle PeopleSoft Technology","Health & Public Service","Yes",18,"Male",32,"focus","ideation","context","responsibility","learner","arranger","includer","intellection","empathy","woo","discipline","restorative","futuristic","relator","command","self-assurance","positivity","harmony","competition","communication","deliberative","developer","analytical","adaptability","activator","belief","significance","individualisation","input","connectedness","consistency","strategic","maximiser","achiever"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Manager","Oracle SOA/BPM","Accenture Technology","Yes",18,"Male",32,"relator","individualisation","input","arranger","focus","ideation","communication","includer","context","harmony","intellection","activator","consistency","maximiser","command","strategic","learner","adaptability","significance","discipline","empathy","woo","positivity","achiever","self-assurance","deliberative","futuristic","restorative","connectedness","developer","belief","analytical","responsibility","competition"
"Client Delivery & Operations","Software Engineering","Application Development","Application Development Manager","Oracle Industry Utilities","Accenture Technology","Yes",18,"Female",33,"discipline","competition","analytical","positivity","belief","intellection","achiever","communication","relator","strategic","learner","self-assurance","context","input","individualisation","arranger","focus","restorative","activator","significance","ideation","includer","command","deliberative","empathy","consistency","adaptability","maximiser","futuristic","developer","woo","harmony","connectedness","responsibility"
"Client Delivery & Operations","Software Engineering","Advanced Application Engineering","Advanced App Engineering Manager","Operations Architectures","Accenture Technology","No",73,"Male",38,"maximiser","communication","intellection","self-assurance","relator","empathy","woo","responsibility","adaptability","harmony","developer","includer","arranger","discipline","competition","restorative","activator","deliberative","positivity","consistency","focus","connectedness","context","belief","analytical","learner","command","futuristic","strategic","significance","input","ideation","achiever","individualisation"
"Client & Market","Account Leadership","Client Account Leadership","Client Account Executive","Resources Industry Apps","Resources","No",91,"Male",44,"includer","ideation","individualisation","connectedness","relator","deliberative","command","developer","achiever","strategic","communication","discipline","self-assurance","consistency","positivity","arranger","activator","learner","competition","woo","restorative","input","maximiser","adaptability","responsibility","context","futuristic","focus","analytical","harmony","intellection","belief","empathy","significance"
"Client Delivery & Operations","Business & Technology Integration","Technology Delivery Lead","Technology Delivery Lead Senior Manager","SAP SCM Fulfillment","Accenture Technology","No",164,"Female",49,"intellection","restorative","connectedness","includer","context","input","activator","responsibility","individualisation","developer","ideation","deliberative","maximiser","discipline","significance","strategic","arranger","analytical","learner","belief","self-assurance","relator","consistency","positivity","harmony","communication","achiever","woo","competition","command","focus","adaptability","empathy","futuristic"
"Corporate Function","Workplace Management & Solutions","Workplace Service Development","Workplace Service Dev Senior Manager","Workplace Service Development","Corporate Functions","No",225,"Female",40,"individualisation","relator","belief","focus","consistency","woo","input","futuristic","ideation","communication","arranger","command","significance","strategic","maximiser","connectedness","intellection","developer","learner","includer","restorative","discipline","positivity","adaptability","activator","context","deliberative","self-assurance","achiever","responsibility","empathy","analytical","harmony","competition"
"Client Delivery & Operations","Program, Project & Service Mgmt","Service Management","Service Management Manager","Service Management Operations","Health & Public Service","No",274,"Male",46,"adaptability","analytical","positivity","focus","relator","deliberative","activator","arranger","woo","achiever","consistency","maximiser","responsibility","self-assurance","command","includer","input","futuristic","connectedness","discipline","communication","significance","restorative","ideation","harmony","belief","learner","developer","individualisation","context","competition","intellection","strategic","empathy"
